Question,Option 1,Option 2,Option 3,Option 4,Correct Option
Яка основна призначення мови програмування Python?,Робота з базами даних,Веб-розробка,Наукові обчислення,Всі відповіді вірні,3
Які з наведених конструкцій є частиною ООП в Python?,if-else,for loop,class,switch-case,2
"Що таке ""PEP 8"" у контексті мови програмування Python?",Стандарт форматування коду,Назва вбудованої бібліотеки,Компілятор Python,Мова запросів,0
Як визначити кількість елементів у списку `my_list`?,len(my_list),count(my_list),length(my_list),size(my_list),0
Як створити екземпляр класу у Python?,new MyClass(),create MyClass(),MyClass(),instance MyClass(),2
Що таке бібліотека NumPy в мові програмування Python?,Графічна бібліотека,Бібліотека для роботи з числовими масивами,Робоче середовище для науковців,Бібліотека для взаємодії з базами даних,1
Як зчитати введення користувача з клавіатури у Python?,input(),read(),get_input(),keyboard.read(),0
Які з наведених є правильними способами коментування коду в Python?,# Опис,// Опис,/* Опис */,// Опис //,0
Як здійснюється видалення елемента зі списку за індексом у Python?,remove(index),delete(index),del list[index],pop(index),2
Що таке виняток (exception) в Python?,Помилка у коді,Спеціальний тип даних,Особливість синтаксису,Зарезервоване слово,0
